Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
44908025,Agile Web Development with Rails 6,Sam Ruby,"Ruby, Sam","David Bryant Copeland, Dave         Thomas, David Heinemeier Hansson",1680506706,9781680506709,0,3.86,Pragmatic Bookshelf,Paperback,496,2020,2005,,2019/07/29,to-read,to-read (#89),to-read,,,,0,0
578587,"Angels and Demons (Robert Langdon, #1)",Dan       Brown,"Brown, Dan",,0552150738,9780552150736,2,3.94,Corgi Books,Paperback,620,2001,2000,,2013/04/11,,,read,,,,1,0
60581087,The Passenger (The Passenger #1),Cormac McCarthy,"McCarthy, Cormac",,0593535227,9780593535226,0,3.58,Knopf,Kindle Edition,385,2022,2022,,2023/01/14,to-read,to-read (#280),to-read,,,,0,0
40223836,Beauty,Stefan Sagmeister,"Sagmeister, Stefan",Jessica Walsh,0714877271,9780714877273,0,4.40,Phaidon Press,Hardcover,280,2018,,,2023/10/29,to-read,to-read (#316),to-read,,,,0,0
20518872,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,"Cixin, Liu",Ken Liu,,,0,4.08,Tor Books,Hardcover,472,2014,2006,,2023/10/23,to-read,to-read (#315),to-read,,,,0,0
34002132,"Oathbringer (The Stormlight Archive, #3)",Brandon Sanderson,"Sanderson, Brandon",,076532637X,9780765326379,0,4.62,Tor Books,Hardcover,1243,2017,2017,,2023/09/17,currently-reading,currently-reading (#4),currently-reading,,,,1,0
139399966,Game Changers: The Video Game Revolution,Phaidon Editors,"Editors, Phaidon","Simon Parkin, India Block",1838666982,9781838666989,0,3.89,Phaidon Press,Hardcover,352,2023,,,2023/09/15,to-read,to-read (#314),to-read,,,,0,0
75668597,The Beauty of Games,Frank Lantz,"Lantz, Frank",,0262048531,9780262376303,0,4.06,The MIT Press,Kindle Edition,181,2023,,,2023/09/15,to-read,to-read (#313),to-read,,,,0,0
63859,Understanding Variation: The Key to Managing Chaos,Donald J. Wheeler,"Wheeler, Donald J.",,0945320531,9780945320531,0,4.06,Spc Pr,Hardcover,158,2000,1993,,2023/09/05,to-read,to-read (#312),to-read,,,,0,0
58473038,Teenage Mutant Ninja Turtles: The Last Ronin,Kevin Eastman,"Eastman, Kevin","Peter Laird, Tom Waltz, Esau Escorza, Isaac Escorza, Ben Bishop, Luis Antonio Delgado, Samuel Plata, Ronda Pattison, Shawn Lee, Robert Rodríguez",1684058414,9781684058419,0,4.41,IDW Publishing,Hardcover,224,2022,2022,,2023/08/14,currently-reading,currently-reading (#3),currently-reading,,,,1,0
