Item Title,List Name,List Description,Group,Date Added,Date Edited,Category,Pinned,Progress,Saved Web Link,Notes
"American Football (Deluxe Edition)","Albums I Want As Wall Art","","Fun Lists",7/15/24,7/15/24,Music Album,false,0.0,,""
"Bon Iver (Deluxe Edition)","Albums I Want As Wall Art","","Fun Lists",7/15/24,7/15/24,Music Album,false,0.0,,""
"Keep Me Fed","Albums I Want As Wall Art","","Fun Lists",7/15/24,7/15/24,Music Album,false,0.0,,""
"","Books 📚","","Backlogs",12/14/23,12/14/23,Book,false,0.0,,"Triple Click - Jason "
"100 Go Mistakes and How to Avoid Them","Books 📚","","Backlogs",3/7/24,3/7/24,Book,false,0.0,,"Best book for understanding how Go works (e.g., concurrency and memory model)"
"2001: A Space Odyssey","Books 📚","","Backlogs",9/7/23,9/7/23,Book,false,0.0,,""
"A Natural History of Dragons","Books 📚","","Backlogs",12/14/23,12/14/23,Book,false,0.0,,""
"A New World Begins","Books 📚","","Backlogs",11/28/24,11/28/24,Book,false,0.0,,""
"A Random Walk Down Wall Street: The Best Investment Guide That Money Can Buy (13th Edition)","Books 📚","","Backlogs",10/31/24,10/3/24,Book,false,0.0,,""
"A Wizard of Earthsea","Books 📚","","Backlogs",1/7/24,1/7/24,Book,false,0.0,,"YA by Ursula???"
"Accelerate","Books 📚","","Backlogs",2/21/24,2/21/24,Book,false,0.0,,"Keith McDonald recommends. Comprehensive study of technology organizations and what makes them successful. "
"All Systems Red","Books 📚","","Backlogs",12/14/23,12/14/23,Book,false,0.0,,""
"Arrival (Stories of Your Life MTI)","Books 📚","","Backlogs",6/12/24,6/12/24,Book,false,0.0,,""
"Babel","Books 📚","","Backlogs",6/27/24,6/27/24,Book,false,0.0,,"Jason Schreir1850s magic london"
"Batman: Resurrection","Books 📚","","Backlogs",11/1/24,11/1/24,Book,false,0.0,,"Highly recommended by Christian Spicer"
"Beautyland","Books 📚","","Backlogs",7/4/24,7/4/24,Book,false,0.0,,"Mallory O’Mara best book ever. Beautiful sci fi. "
"Becoming a Supple Leopard 2nd Edition","Books 📚","","Backlogs",5/11/24,5/11/24,Book,false,0.0,,""
"Before the Coffee Gets Cold","Books 📚","","Backlogs",11/10/24,11/10/24,Book,false,0.0,,"“Healing fiction” covered by NYT"
"Cat's Cradle","Books 📚","","Backlogs",3/27/24,3/27/24,Book,false,0.0,,""
"Crafting Interpreters","Books 📚","","Backlogs",12/14/23,12/14/23,Book,false,0.0,,"Paul Hummer"
"Cyberpunk 2077: No Coincidence","Books 📚","","Backlogs",2/17/24,12/13/23,Book,false,0.0,,"Heist book set in world of the game "
"Dark Matter","Books 📚","","Backlogs",12/14/23,12/14/23,Book,false,0.0,,""
"Death on the Nile","Books 📚","","Backlogs",12/14/23,12/14/23,Book,false,0.0,,""
"Delicious in Dungeon, Vol. 1","Books 📚","","Backlogs",2/17/24,1/5/24,Book,false,0.0,,""
"Designing Data-Intensive Applications","Books 📚","","Backlogs",10/2/24,10/2/24,Book,false,0.0,,"Archana recommends as one of the best system design books she’s come across"
"Dragon Teeth","Books 📚","","Backlogs",6/9/24,6/9/24,Book,false,0.0,,""
"Elantris","Books 📚","","Backlogs",4/9/24,7/11/24,Book,false,0.0,,"Joe said I should read this one before reading up on CosmereLet’s do it after Way of Kings"
"Elements of Style","Books 📚","","Backlogs",12/14/23,12/14/23,Book,false,0.0,,"short text on writing recommended by many"
"Emily Wilde's Encyclopaedia of Faeries","Books 📚","","Backlogs",12/14/23,12/14/23,Book,false,0.0,,""
"Equal Rites","Books 📚","","Backlogs",9/7/23,9/7/23,Book,false,0.0,,""
"Eruption","Books 📚","","Backlogs",6/9/24,6/9/24,Book,false,0.0,,""
"Everyone in This Room Will Someday Be Dead","Books 📚","","Backlogs",9/29/23,9/29/23,Book,false,0.0,,"Really deals with anxiety. Justin on besties read it all in one day. "
"Everything to Play For","Books 📚","","Backlogs",5/12/24,5/12/24,Book,false,0.0,,""
"Extinction","Books 📚","","Backlogs",9/7/23,9/7/23,Book,false,0.0,,""
"Fairy Tale","Books 📚","","Backlogs",9/26/23,9/26/23,Book,false,0.0,,"Christian Spicer recSays it’s not really scary! "
"Final Theory","Books 📚","","Backlogs",9/7/23,9/7/23,Book,false,0.0,,""
"Frank Miller's Sin City Volume 1: The Hard Goodbye (Fourth Edition)","Books 📚","","Backlogs",9/7/23,9/7/23,Book,false,0.0,,""
"Freakonomics","Books 📚","","Backlogs",9/7/23,9/7/23,Book,false,0.0,,""
"From Here to Eternity: Traveling the World to Find the Good Death","Books 📚","","Backlogs",9/22/23,9/22/23,Book,false,0.0,,"Recommended by Janessa at work. Same author also has a book about working in a crematorium."
"Futuristic Violence and Fancy Suits","Books 📚","","Backlogs",12/14/23,12/14/23,Book,false,0.0,,""
"Game Changers: The Video Game Revolution","Books 📚","","Backlogs",11/29/23,11/29/23,Book,false,0.0,,"Recommended by Chris Plante. [Link to Goodreads](https://www.goodreads.com/book/show/139399966-game-changers)."
"Girls Make Movies","Books 📚","","Backlogs",12/14/23,12/14/23,Book,false,0.0,,""
"Go Take a Bath!: A powerful self-care approach to extraordinary parenting","Books 📚","","Backlogs",11/29/23,11/29/23,Book,false,0.0,,"I think Emily Oster may have recommended this? Not sure. [Link](https://www.goodreads.com/book/show/19202515-go-take-a-bath)."
