title,year,creator,note
The Great Gatsby,1925,F. Scott Fitzgerald,
To Kill a Mockingbird,1960,Harper Lee,
1984,1949,George Orwell,
Pride and Prejudice,1813,Jane Austen,
The Catcher in the Rye,1951,J.D. Salinger,
Brave New World,1932,Aldous Huxley,
The Lord of the Rings,1954,J.R.R. Tolkien,
The Chronicles of Narnia,1950,C.S. Lewis,
One Hundred Years of Solitude,1967,Gabriel García Márquez,
The Hobbit,1937,J.R.R. Tolkien,
Don Quixote,1605,Miguel de Cervantes,
Jane Eyre,1847,Charlotte Brontë,
The Picture of Dorian Gray,1890,Oscar Wilde,
Wuthering Heights,1847,Emily Brontë,
The Grapes of Wrath,1939,John Steinbeck,
The Sun Also Rises,1926,Ernest Hemingway,
Moby Dick,1851,Herman Melville,
The Odyssey,1614,Homer,
Crime and Punishment,1866,Fyodor Dostoevsky,
The Divine Comedy,1320,Dante Alighieri,
The Canterbury Tales,1392,Geoffrey Chaucer,
War and Peace,1869,Leo Tolstoy,
Anna Karenina,1877,Leo Tolstoy,
Les Misérables,1862,Victor Hugo,
The Count of Monte Cristo,1844,Alexandre Dumas,
The Three Musketeers,1844,Alexandre Dumas,
Little Women,1868,Louisa May Alcott,
Dracula,1897,Bram Stoker,
Frankenstein,1818,Mary Shelley,
The Adventures of Sherlock Holmes,1892,Arthur Conan Doyle,
The Time Machine,1895,H.G. Wells,
The War of the Worlds,1898,H.G. Wells,
The Invisible Man,1897,H.G. Wells,
Twenty Thousand Leagues Under the Sea,1870,Jules Verne,
Journey to the Center of the Earth,1864,Jules Verne,
Around the World in Eighty Days,1873,Jules Verne,
The Call of the Wild,1903,Jack London,
White Fang,1906,Jack London,
The Jungle Book,1894,Rudyard Kipling,
Kim,1901,Rudyard Kipling,
The Wind in the Willows,1908,Kenneth Grahame,
Peter Pan,1911,J.M. Barrie,
The Wonderful Wizard of Oz,1900,L. Frank Baum,
Alice's Adventures in Wonderland,1865,Lewis Carroll,
Through the Looking Glass,1871,Lewis Carroll,
The Tale of Peter Rabbit,1902,Beatrix Potter,
The Secret Garden,1911,Frances Hodgson Burnett,
A Little Princess,1905,Frances Hodgson Burnett,
Anne of Green Gables,1908,L.M. Montgomery,
The Adventures of Tom Sawyer,1876,Mark Twain,
Adventures of Huckleberry Finn,1884,Mark Twain,
The Prince and the Pauper,1881,Mark Twain,
Oliver Twist,1837,Charles Dickens,
A Tale of Two Cities,1859,Charles Dickens,
Great Expectations,1861,Charles Dickens,
David Copperfield,1850,Charles Dickens,
A Christmas Carol,1843,Charles Dickens,
The Old Man and the Sea,1952,Ernest Hemingway,
For Whom the Bell Tolls,1940,Ernest Hemingway,
A Farewell to Arms,1929,Ernest Hemingway,
Of Mice and Men,1937,John Steinbeck,
East of Eden,1952,John Steinbeck,
The Pearl,1947,John Steinbeck,
Lord of the Flies,1954,William Golding,
Animal Farm,1945,George Orwell,
The Heart of Darkness,1899,Joseph Conrad,
Lord Jim,1900,Joseph Conrad,
The Secret Agent,1907,Joseph Conrad,
Sons and Lovers,1913,D.H. Lawrence,
Women in Love,1920,D.H. Lawrence,
Lady Chatterley's Lover,1928,D.H. Lawrence,
The Rainbow,1915,D.H. Lawrence,
Mrs. Dalloway,1925,Virginia Woolf,
To the Lighthouse,1927,Virginia Woolf,
Orlando,1928,Virginia Woolf,
A Room of One's Own,1929,Virginia Woolf,
